lat,lon,disc
33.0793132125958,-117.058420609563,SIDEWINDER-1
33.0800170861416,-117.058013890136,BUZZZ-1
33.0799169784905,-117.057801183665,JUDGE-1
33.0799110590434,-117.057791691726,JUDGE-1
33.0796454886489,-117.057603768022,SIDEWINDER-1
33.078747434225,-117.057606947167,BUZZZ-1
33.0789233755023,-117.057805462048,JUDGE-1
33.078939150214,-117.057904893116,JUDGE-1
33.0793138913536,-117.057265193102,SIDEWINDER-1
33.0803893772941,-117.05737102583,BUZZZ-1
33.0806652315561,-117.057427658621,JUDGE-1
33.0806730708703,-117.057473036743,JUDGE-1
33.0803972557299,-117.057762112545,SIDEWINDER-1
33.0797303281751,-117.058558513084,BUZZZ-1
33.0794238016944,-117.05870229327,JUDGE-1
33.0794494565731,-117.05879964212,JUDGE-1
33.0792741142491,-117.059296910825,SIDEWINDER-1
33.0791135552533,-117.060141392523,JUDGE-1
33.0791031451188,-117.060179047178,JUDGE-1
33.08093182616,-117.061121943003,SIDEWINDER-1
33.081332593478,-117.061113450043,JUDGE-1
33.0813538805979,-117.061133712018,JUDGE-1
33.0814341462575,-117.060909984771,SIDEWINDER-1
33.082183370936,-117.061031416402,SIDEWINDER-1
33.0821233425013,-117.061022172925,JUDGE-1
33.0821065344036,-117.061051860106,JUDGE-1
33.082312364535,-117.060986468123,SIDEWINDER-1
33.0826065940115,-117.0609045218,BUZZZ-1
33.0828360923867,-117.060813076179,JUDGE-1
33.0828741122915,-117.060756434994,JUDGE-1
33.0834586808732,-117.060982809367,SIDEWINDER-1
33.0841697812174,-117.061285911866,JUDGE-1
33.0841140705959,-117.061307615069,JUDGE-1
33.0845613719463,-117.061404724473,SIDEWINDER-1
33.0836381649417,-117.061649543632,JUDGE-1
33.08368571897,-117.061664663954,JUDGE-1
33.083441352349,-117.0618186561,SIDEWINDER-1
33.0842382445566,-117.06154662735,SIDEWINDER-1
33.0847890246038,-117.061653651933,JUDGE-1
33.0847943961072,-117.061540952343,JUDGE-1
33.0847873124423,-117.061542542023,JUDGE-1
33.0846292466618,-117.062012307002,DESTROYER-1
33.0839660120191,-117.06216458659,JUDGE-1
33.0838748075692,-117.062238159917,JUDGE-1
33.0836528847983,-117.062243000096,DESTROYER-1
33.0825611206989,-117.06210935842,BUZZZ-1
33.0828709893334,-117.061831001443,JUDGE-1
33.0828641370647,-117.061793315747,JUDGE-1
33.0825310225238,-117.061167355392,SIDEWINDER-1
33.0818871529966,-117.061103125095,BUZZZ-1
33.0814728252606,-117.061191177371,JUDGE-1
33.0814827853343,-117.061251212192,JUDGE-1
33.0817272825598,-117.061560567712,DESTROYER-1
33.0810479501677,-117.061744169111,JUDGE-1
33.0810192168555,-117.061790534443,JUDGE-1
33.0810152316355,-117.061780987115,JUDGE-1
33.0811698743508,-117.062126308691,DESTROYER-1
33.0804726811352,-117.062459604525,JUDGE-1
33.0804846617824,-117.062519733697,JUDGE-1
33.0804741560506,-117.062240457479,BUZZZ-1
33.0798726553516,-117.062502763467,JUDGE-1
33.0798847217636,-117.062501533997,JUDGE-1
33.0799007557007,-117.062582599267,JUDGE-1
33.079632385975,-117.06244600564,SIDEWINDER-1
33.0795199159482,-117.06130810878,JUDGE-1
33.0795199159482,-117.06130810878,JUDGE-1
